一致性与连贯性(Consistency vs Coherence),https://zhuanlan.zhihu.com/p/264327134,
16 记忆研究摘要,https://zhuanlan.zhihu.com/p/164968911,
艾宾浩斯遗忘曲线的错误,https://zhuanlan.zhihu.com/p/156672476,
记忆的两个组成成分|浓缩通俗版,https://zhuanlan.zhihu.com/p/179076885,
记忆稳定性的两个组成成分,https://zhuanlan.zhihu.com/p/268782211,
记忆复杂性,https://zhuanlan.zhihu.com/p/304800091,
间隔效应,https://zhuanlan.zhihu.com/p/279166945,
记忆的神经统计模型,https://zhuanlan.zhihu.com/p/277483881,
遗忘曲线,https://zhuanlan.zhihu.com/p/274352214,
9 Toxic memory 毒性记忆,https://zhuanlan.zhihu.com/p/67390960,
8 Education counteracts evolution 教育抵消进化,https://zhuanlan.zhihu.com/p/66279009,
Goodness of knowledge 知识的好(下),https://zhuanlan.zhihu.com/p/355224397,
Goodness of knowledge 知识的好(上),https://zhuanlan.zhihu.com/p/355214326,
7 Learn drive vs. learned helplessness 学习内驱力与习得性无助,https://zhuanlan.zhihu.com/p/65899656,
如何搜索 AnkiWeb 上分享的中文牌组？,https://zhuanlan.zhihu.com/p/355135560,
电子游戏比老师好,https://zhuanlan.zhihu.com/p/354952708,
06 1989: SuperMemo 适应用户记忆(下),https://zhuanlan.zhihu.com/p/213170503,
6 Learn drive and reward 学习内驱力和奖励（6.22-6.25+摘要）,https://zhuanlan.zhihu.com/p/64573052,
6 Learn drive and reward 学习内驱力和奖励（6.17-6.21）,https://zhuanlan.zhihu.com/p/64573017,
06 1989: SuperMemo 适应用户记忆(中),https://zhuanlan.zhihu.com/p/207094393,
6 Learn drive and reward 学习内驱力和奖励（6.11-6.16）,https://zhuanlan.zhihu.com/p/64572381,
06 1989: SuperMemo 适应用户记忆(上),https://zhuanlan.zhihu.com/p/205600711,
6 Learn drive and reward 学习内驱力和奖励（6.1-6.10）,https://zhuanlan.zhihu.com/p/64571517,
05 1988：记忆的两个组成成分,https://zhuanlan.zhihu.com/p/99505568,
5 Effect of schooling on the learn drive 学校对学习内驱力的影响,https://zhuanlan.zhihu.com/p/52990626,
4 Learn drive 学习内驱力,https://zhuanlan.zhihu.com/p/52990549,
04 SuperMemo 1.0: 日志 (1987),https://zhuanlan.zhihu.com/p/97887756,
03 1986：SuperMemo 的第一步,https://zhuanlan.zhihu.com/p/96603060,
3 Brain science 脑科学,https://zhuanlan.zhihu.com/p/52990495,
02 1985：SuperMemo 的诞生,https://zhuanlan.zhihu.com/p/95111167,
2 Motto 箴言,https://zhuanlan.zhihu.com/p/52990307,
01 Introduction 前言,https://zhuanlan.zhihu.com/p/92640205,
1 Introduction 前言,https://zhuanlan.zhihu.com/p/52805512,
How school can ruin a life 学校是如何毁了一个人的生活,https://zhuanlan.zhihu.com/p/354000728,
Futility of schooling 学校教育的徒劳,https://zhuanlan.zhihu.com/p/353878177,
Asemantic curriculum 无语义课程,https://zhuanlan.zhihu.com/p/353614809,
自我导向/自定进度/自学,https://zhuanlan.zhihu.com/p/353404375,
迷思：我们不需要知识，只需要一个知识索引,https://zhuanlan.zhihu.com/p/353065982,
【翻译】渐进摘录处理的原因(I)：更好的元记忆判断,https://zhuanlan.zhihu.com/p/352763959,
【翻译】在渐进阅读中，创建摘录卡片后该做什么？,https://zhuanlan.zhihu.com/p/352611888,
义务教育的好处,https://zhuanlan.zhihu.com/p/352290343,
【翻译】为什么任何笔记系统在 SuperMemo 面前都是垃圾 (如 OneNote 和 Evernote),https://zhuanlan.zhihu.com/p/352176551,
误区：睡前学习是最好的,https://zhuanlan.zhihu.com/p/352086974,
误区：在第一天就多次复习你的材料,https://zhuanlan.zhihu.com/p/352083787,
Coercion in learning 学习中的强迫,https://zhuanlan.zhihu.com/p/351872034,
Compulsory schooling 义务教育,https://zhuanlan.zhihu.com/p/351869026,
如何解决任何问题？,https://zhuanlan.zhihu.com/p/351779186,
SuperMemo 自动备份,https://zhuanlan.zhihu.com/p/351606263,
关于教育自由和信息自由,https://zhuanlan.zhihu.com/p/351348580,
理性拖延,https://zhuanlan.zhihu.com/p/350725699,
Tree growth metaphor 树木生长比喻,https://zhuanlan.zhihu.com/p/349822700,
Missile metaphor 导弹比喻,https://zhuanlan.zhihu.com/p/349684538,
涌现 Emergence,https://zhuanlan.zhihu.com/p/349290940,
流言：学生天生懒惰，不喜欢学习,https://zhuanlan.zhihu.com/p/348663583,
课堂教学的内在问题,https://zhuanlan.zhihu.com/p/347510057,
教育改革怎样可以不花钱？,https://zhuanlan.zhihu.com/p/347501064,
从国产 Anki 类软件说起，谈谈教育技术和内卷（暴论）,https://zhuanlan.zhihu.com/p/346567385,
简单 Anki 高考制卡心得,https://zhuanlan.zhihu.com/p/35390139,
Anki 制卡对复习记忆效率的影响分析,https://zhuanlan.zhihu.com/p/346463057,
从 Duolingo 机器学习算法说起，浅析记忆数据的特征工程,https://zhuanlan.zhihu.com/p/345172257,
从 Anki 算法说起，探索记忆的状态空间,https://zhuanlan.zhihu.com/p/344716900,
复习算法发展的两大方向,https://zhuanlan.zhihu.com/p/343419228,
从一个记忆伪概念，到记忆研究的难题。,https://zhuanlan.zhihu.com/p/343115387,
写在2021之前——一篇自言自语,https://zhuanlan.zhihu.com/p/337958100,
Anki 复习数据清洗与分析(附源码和数据),https://zhuanlan.zhihu.com/p/337200754,
【翻译】示范：我的渐进阅读工作流程,https://zhuanlan.zhihu.com/p/322673517,
【翻译】SuperMemo 中渐进阅读的意义：第二部分,https://zhuanlan.zhihu.com/p/322584755,
【翻译】SuperMemo 中渐进阅读的意义：第一部分,https://zhuanlan.zhihu.com/p/322497441,
渐进阅读材料导入与预处理,https://zhuanlan.zhihu.com/p/321701995,
20 条知识表述规则（20 周年版）,https://zhuanlan.zhihu.com/p/269997143,
基于主动回忆的学习中的知识结构与表述,https://zhuanlan.zhihu.com/p/297790034,
误区：你需要每天使用 SuperMemo 学习,https://zhuanlan.zhihu.com/p/319611234,
渐进阅读懒人样式,https://zhuanlan.zhihu.com/p/318653942,
误区：SuperMemo 的重复会浪费太多时间,https://zhuanlan.zhihu.com/p/315758950,
渐进阅读基本概念与操作介绍,https://zhuanlan.zhihu.com/p/313684185,
渐进阅读的必然性,https://zhuanlan.zhihu.com/p/313020639,
迷信：记忆是不需要的,https://zhuanlan.zhihu.com/p/311666201,
迷信：每个人的遗忘速度相同,https://zhuanlan.zhihu.com/p/310377557,
如果在知乎发帖可以加经验，你会灌水吗？,https://api.zhihu.com/questions/431834403,
同时阅读上百篇文章？渐进阅读之程序员视角(IRAPP),https://zhuanlan.zhihu.com/p/307996163,
同时阅读上百篇文章？渐进阅读之程序员视角(IRAPP),https://zhuanlan.zhihu.com/p/307996163,
难点卡片(Leech),https://zhuanlan.zhihu.com/p/307602868,
老汤比喻,https://zhuanlan.zhihu.com/p/306014650,
间隔重复 (spaced repetition),https://zhuanlan.zhihu.com/p/305651556,
记忆复杂性,https://zhuanlan.zhihu.com/p/304800091,
概念计算,https://zhuanlan.zhihu.com/p/304193622,
彼得 · 沃兹尼亚克,https://zhuanlan.zhihu.com/p/303204832,
基于主动回忆的学习中的知识结构与表述,https://zhuanlan.zhihu.com/p/297790034,
无语义学习,https://zhuanlan.zhihu.com/p/295053968,
语义框架,https://zhuanlan.zhihu.com/p/295032009,
量子物理学家用 Anki 重新发现渐进阅读,https://zhuanlan.zhihu.com/p/289631499,
间隔效应的结构与分子机理,https://zhuanlan.zhihu.com/p/288609114,
间隔重复中的简化与冗余,https://zhuanlan.zhihu.com/p/283017134,
不要在没有理解之前就去记忆,https://zhuanlan.zhihu.com/p/281085595,
在 Anki 制作 2.9 万张卡片，复习 33 万次之后，我转用了 SuperMemo,https://zhuanlan.zhihu.com/p/279553703,
间隔效应,https://zhuanlan.zhihu.com/p/279166945,
记忆的神经统计模型,https://zhuanlan.zhihu.com/p/277483881,
通用描述符,https://zhuanlan.zhihu.com/p/274891979,
遗忘曲线,https://zhuanlan.zhihu.com/p/274352214,
学习的基本规律,https://zhuanlan.zhihu.com/p/273225977,
论老鼠比受过学校教育的人更优越,https://zhuanlan.zhihu.com/p/272801606,
自由学习,https://zhuanlan.zhihu.com/p/272543239,
拼图游戏比喻,https://zhuanlan.zhihu.com/p/271646965,
抽象知识,https://zhuanlan.zhihu.com/p/270927894,
20 条知识表述规则（20 周年版）,https://zhuanlan.zhihu.com/p/269997143,
干扰,https://zhuanlan.zhihu.com/p/269974053,
「公告」Anki 高考牌组解密工作圆满完成,https://zhuanlan.zhihu.com/p/269808977,
【解密】第18期「完」：物质结构与性质|Anki化学,https://zhuanlan.zhihu.com/p/269670900,
记忆稳定性的两个组成成分,https://zhuanlan.zhihu.com/p/268782211,
知识结晶,https://zhuanlan.zhihu.com/p/268536400,
教育解放宣言,https://zhuanlan.zhihu.com/p/268258730,
儿童应有投票权,https://zhuanlan.zhihu.com/p/268255239,
零和游戏花招,https://zhuanlan.zhihu.com/p/268248187,
我们该如何学习“学习”？提出这几个核心问题实践一下吧！,https://zhuanlan.zhihu.com/p/268133417,
【解密】第17期：有机化学|Anki化学,https://zhuanlan.zhihu.com/p/266932732,
语义学习,https://zhuanlan.zhihu.com/p/266922623,
睡眠中的记忆优化,https://zhuanlan.zhihu.com/p/266856783,
概念网络,https://zhuanlan.zhihu.com/p/266541480,
醒醒，别再沉迷各种学习方法了！本文带你理解学习的核心问题。（5k+字、20+参考）,https://zhuanlan.zhihu.com/p/262712738,
【解密】第16期：化学元素|Anki化学,https://zhuanlan.zhihu.com/p/265539478,
遗忘机制,https://zhuanlan.zhihu.com/p/265081034,
泛化与概念化（Generalization vs Conceptualization）,https://zhuanlan.zhihu.com/p/264989664,
知识达尔文主义（知识进化论）,https://zhuanlan.zhihu.com/p/264940693,
一致性与连贯性(Consistency vs Coherence),https://zhuanlan.zhihu.com/p/264327134,
醒醒，别再沉迷各种学习方法了！本文带你理解学习的核心问题。（5k+字、20+参考）,https://zhuanlan.zhihu.com/p/262712738,
【解密】第15期：背默|Anki语文,https://zhuanlan.zhihu.com/p/262701198,
【解密】第14期：化学方程式|Anki化学,https://zhuanlan.zhihu.com/p/260442817,
我们需要老师吗？,https://zhuanlan.zhihu.com/p/259398622,
【解密】第13期：现代生物科技|Anki生物,https://zhuanlan.zhihu.com/p/258438100,
错误模型的价值,https://zhuanlan.zhihu.com/p/258435094,
我怎样才能读得更快？,https://zhuanlan.zhihu.com/p/256212819,
磨难就是荣耀?,https://zhuanlan.zhihu.com/p/253184005,
教育工厂模式,https://zhuanlan.zhihu.com/p/252300144,
普鲁士教育模式,https://zhuanlan.zhihu.com/p/251148900,
「公告」关于专栏重组事宜,https://zhuanlan.zhihu.com/p/250434140,
【解密】第12期：阅读词汇|Anki英语,https://zhuanlan.zhihu.com/p/248076043,
制作间隔重复卡片,https://zhuanlan.zhihu.com/p/245530782,
教育改革,https://zhuanlan.zhihu.com/p/242815901,
在 RemNote 中构建知识,https://zhuanlan.zhihu.com/p/242322075,
间隔重复概述,https://zhuanlan.zhihu.com/p/239734539,
Rem 引用,https://zhuanlan.zhihu.com/p/238333440,
迅速组织层次结构,https://zhuanlan.zhihu.com/p/238211772,
5 分钟了解 Remnote,https://zhuanlan.zhihu.com/p/235834139,
【解密】第11期：反应原理|Anki化学,https://zhuanlan.zhihu.com/p/232327520,
Remnote——记住你的笔记！,https://zhuanlan.zhihu.com/p/229018036,
【解密】第10期：生物技术实践|Anki生物,https://zhuanlan.zhihu.com/p/214354261,
06 1989: SuperMemo 适应用户记忆(下),https://zhuanlan.zhihu.com/p/213170503,
06 1989: SuperMemo 适应用户记忆(中),https://zhuanlan.zhihu.com/p/207094393,
06 1989: SuperMemo 适应用户记忆(上),https://zhuanlan.zhihu.com/p/205600711,
【解密】第9期：数列|Anki数学,https://zhuanlan.zhihu.com/p/199016664,
Anki 填空题如何给挖空部分加提示？,https://api.zhihu.com/questions/417269290,
Anki 圈子建设计划,https://zhuanlan.zhihu.com/p/186189133,
【解密】第8期：语法词汇|Anki英语,https://zhuanlan.zhihu.com/p/188869178,
【解密】第7期：工业流程|Anki化学,https://zhuanlan.zhihu.com/p/180127316,
遗忘指数是间隔重复中的一个有缺陷的度量,https://zhuanlan.zhihu.com/p/179057473,
记忆的两个组成成分|浓缩通俗版,https://zhuanlan.zhihu.com/p/179076885,
Anki 2.1 scheduler/安排算法,https://zhuanlan.zhihu.com/p/177609573,
【经验】他人牌组食用指北|Anki,https://zhuanlan.zhihu.com/p/168386543,
【解密】第6期：稳态与环境|Anki生物,https://zhuanlan.zhihu.com/p/166561325,
16 记忆研究摘要,https://zhuanlan.zhihu.com/p/164968911,
【解密】第5期：三角函数及解三角形|Anki数学,https://zhuanlan.zhihu.com/p/164883400,
Anki 能做到什么?不能做到什么?,https://api.zhihu.com/questions/410244318,
【解密】第4期：文言实词|Anki语文,https://zhuanlan.zhihu.com/p/163271957,
HITszQAbot 项目记录,https://zhuanlan.zhihu.com/p/158186707,
又一款不错的 Anki 划词插件,https://zhuanlan.zhihu.com/p/161690440,
在使用Anki过程中有哪些拆卡经验值得分享？,https://api.zhihu.com/questions/407795041,
【解密】第3期：写作词汇|Anki英语,https://zhuanlan.zhihu.com/p/160246939,
HITszQAbot 项目记录,https://zhuanlan.zhihu.com/p/158186707,
【解密】第2期：化学与生活|Anki化学,https://zhuanlan.zhihu.com/p/151780432,
艾宾浩斯遗忘曲线的错误,https://zhuanlan.zhihu.com/p/156672476,
【解密】第1期：遗传与进化|Anki生物,https://zhuanlan.zhihu.com/p/151738322,
【万粉纪念】兼【激励计划】及【解密系列序章】,https://zhuanlan.zhihu.com/p/151319005,
【合集】那些 Anki 高考牌组的作者们,https://zhuanlan.zhihu.com/p/104104736,
知乎圈子怎么同步原创回答？,https://api.zhihu.com/questions/403069061,
【思货】“旗帜鲜明”地反对用 Anki “刷题”（评论区更精彩）,https://zhuanlan.zhihu.com/p/144948551,
【公告】Anki 高考牌组下架及解密的相关事宜,https://zhuanlan.zhihu.com/p/142177105,
【硬核】Anki2.1 打印卡片(续)——关于填空卡片转生成为复习提纲的那档事,https://zhuanlan.zhihu.com/p/138240220,
【硬核】Anki2.1 打印卡片——可以打印还能自测，这样的问答卡片你喜欢吗？,https://zhuanlan.zhihu.com/p/137769105,
【授权转载】【Ank高级操作技巧】(8)-添加表格,https://zhuanlan.zhihu.com/p/136792696,
Anki 超强插件介绍,https://zhuanlan.zhihu.com/p/129399031,
【分享】QuickerXMathpix 实现截图公式OCR,https://zhuanlan.zhihu.com/p/127043982,
【介绍】SuperMemo China 翻译计划,https://zhuanlan.zhihu.com/p/127030397,
「二周年」Anki 高考，回顾与展望。,https://zhuanlan.zhihu.com/p/114881523,
【补档】Anki与高考听力的完美融合——经验与福利分享,https://zhuanlan.zhihu.com/p/59323356,
【介绍】Osmosis——视频网课、卡片与间隔重复的有机结合,https://zhuanlan.zhihu.com/p/106058169,
【实战】Anki 生物专题快速制卡,https://zhuanlan.zhihu.com/p/104370779,
【合集】那些 Anki 高考牌组的作者们,https://zhuanlan.zhihu.com/p/104104736,
【合集】关于 Anki，我们曾经做过的梦,https://zhuanlan.zhihu.com/p/103810284,
【实战】大学英语六级翻译词汇快速制卡记录,https://zhuanlan.zhihu.com/p/102259740,
